"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045840","positive regulation of mitotic nuclear division","4/19","43/18842",0.0930232558139535,92.249694002448,19.0319209318806,8.88749291903234e-08,1.41239076659217e-05,1.41239076659217e-05,"NUSAP1/UBE2C/DLGAP5/CDC20",4
"GO:0030261","chromosome condensation","4/19","45/18842",0.0888888888888889,88.1497076023392,18.5956890153897,1.07163465459655e-07,1.65821362342835e-05,1.65821362342835e-05,"NUSAP1/CCNB1/TOP2A/CDK1",4
"GO:0051785","positive regulation of nuclear division","4/19","52/18842",0.0769230769230769,76.2834008097166,17.2711742310118,1.93849530453266e-07,2.92265445914155e-05,2.92265445914155e-05,"NUSAP1/UBE2C/DLGAP5/CDC20",4
"GO:0007093","mitotic cell cycle checkpoint signaling","5/19","140/18842",0.0357142857142857,35.4172932330827,12.9861692165741,2.25419260000055e-07,3.31366312200081e-05,3.31366312200081e-05,"ZWINT/CCNB1/CDK1/CENPF/CDC20",5
"GO:0007094","mitotic spindle assembly checkpoint signaling","4/19","56/18842",0.0714285714285714,70.8345864661654,16.6276844603562,2.6232373137587e-07,3.58712451276771e-05,3.58712451276771e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0071173","spindle assembly checkpoint signaling","4/19","56/18842",0.0714285714285714,70.8345864661654,16.6276844603562,2.6232373137587e-07,3.58712451276771e-05,3.58712451276771e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0071174","mitotic spindle checkpoint signaling","4/19","56/18842",0.0714285714285714,70.8345864661654,16.6276844603562,2.6232373137587e-07,3.58712451276771e-05,3.58712451276771e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0031577","spindle checkpoint signaling","4/19","57/18842",0.0701754385964912,69.5918744228994,16.47740640146,2.81941870576774e-07,3.70725879276151e-05,3.70725879276151e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0033046","negative regulation of sister chromatid segregation","4/19","58/18842",0.0689655172413793,68.3920145190563,16.3309989119986,3.02633370837674e-07,3.70725879276151e-05,3.70725879276151e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0033048","negative regulation of mitotic sister chromatid segregation","4/19","58/18842",0.0689655172413793,68.3920145190563,16.3309989119986,3.02633370837674e-07,3.70725879276151e-05,3.70725879276151e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","4/19","58/18842",0.0689655172413793,68.3920145190563,16.3309989119986,3.02633370837674e-07,3.70725879276151e-05,3.70725879276151e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:2000816","negative regulation of mitotic sister chromatid separation","4/19","58/18842",0.0689655172413793,68.3920145190563,16.3309989119986,3.02633370837674e-07,3.70725879276151e-05,3.70725879276151e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","4/19","60/18842",0.0666666666666667,66.1122807017544,16.0491475186817,3.47388434592816e-07,4.08528799081152e-05,4.08528799081152e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:1905819","negative regulation of chromosome separation","4/19","60/18842",0.0666666666666667,66.1122807017544,16.0491475186817,3.47388434592816e-07,4.08528799081152e-05,4.08528799081152e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0051985","negative regulation of chromosome segregation","4/19","61/18842",0.0655737704918033,65.0284728213978,15.9134029053774,3.71529518917603e-07,4.28351680634412e-05,4.28351680634412e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0010948","negative regulation of cell cycle process","6/19","309/18842",0.0194174757281553,19.2560040878896,10.2800790753323,4.20085836060435e-07,4.75020137699107e-05,4.75020137699107e-05,"ZWINT/CCNB1/NEK2/CDK1/CENPF/CDC20",6
"GO:0045839","negative regulation of mitotic nuclear division","4/19","64/18842",0.0625,61.9802631578947,15.5252630739863,4.5148489443501e-07,5.00892675335445e-05,5.00892675335445e-05,"ZWINT/CCNB1/CENPF/CDC20",4
"GO:0051784","negative regulation of nuclear division","4/19","70/18842",0.0571428571428571,56.6676691729323,14.8245370213668,6.4903748036299e-07,7.067297008397e-05,7.067297008397e-05,"ZWINT/CCNB1/CENPF/CDC20",4
